row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
13717,,"ENSG00000173954","CXorf19",
13718,81660,"ENSG00000173960","UBXN2A",165324
13719,,"ENSG00000173966","AC095040.1",
13720,59029,"ENSG00000173976","RAX2",84839
13721,85642,"ENSG00000173988","LRRC63",220416
13722,8491,"ENSG00000173991","TCAP",8557
13723,9829,"ENSG00000173992","CCS",9973
13724,119583,"ENSG00000174004","LRRC33",375387
13725,59174,"ENSG00000174007","C3orf34",84984
13726,56112,"ENSG00000174010","KLHL15",80311
13727,83603,"ENSG00000174013","FBXO45",200933
13728,85622,"ENSG00000174015","SPERT",220082
13729,81757,"ENSG00000174016","FAM46D",169966
13730,2770,"ENSG00000174021","GNG5",2787
13731,90112,"ENSG00000174032","SLC25A30",253512
13732,79754,"ENSG00000174038","C9orf131",138724
13733,942,"ENSG00000174059","CD34",947
13734,8651,"ENSG00000174080","CTSF",8722
13735,,"ENSG00000174083","PIK3R6",
13736,,"ENSG00000174093","AC183087.2",
13737,90137,"ENSG00000174099","MSRB3",253827
13738,58521,"ENSG00000174100","MRPL45",84311
13739,23346,"ENSG00000174106","LEMD3",23592
13740,94125,"ENSG00000174109","C16orf91",283951
13741,29828,"ENSG00000174111","SOCS7",30837
13742,57474,"ENSG00000174123","TLR10",81793
13743,7053,"ENSG00000174125","TLR1",7096
13744,10187,"ENSG00000174130","TLR6",10333
13745,110187,"ENSG00000174132","FAM174A",345757
13746,94653,"ENSG00000174136","RGMB",285704
13747,81091,"ENSG00000174137","FAM53A",152877
13748,36768,"ENSG00000174145","KIAA1239",57495
13749,94354,"ENSG00000174151","CYB561D1",284613
13750,2923,"ENSG00000174156","GSTA3",2940
