,xgb_oof_score
ENSP00000259271,0.9117833971977234
ENSP00000266735,0.0900485441088676
ENSP00000276079,0.314012736082077
ENSP00000296839,0.1369693726301193
ENSP00000300291,0.0475749298930168
ENSP00000301727,0.147418811917305
ENSP00000305613,0.3139553070068359
ENSP00000310966,0.0038775252178311
ENSP00000313021,0.4532029032707214
ENSP00000319169,0.1972879022359848
ENSP00000339867,0.5128695964813232
ENSP00000340736,0.049369178712368
ENSP00000342235,0.8718785643577576
ENSP00000231948,0.4837023615837097
ENSP00000243914,0.1982668787240982
ENSP00000249647,0.4758069515228271
ENSP00000252321,0.5767128467559814
ENSP00000275233,0.421202152967453
ENSP00000297109,0.0658793374896049
ENSP00000300406,0.0505281835794448
ENSP00000304689,0.1066152900457382
ENSP00000305244,0.1471786648035049
ENSP00000317686,0.1319423615932464
ENSP00000339495,0.0926729291677475
ENSP00000342434,0.314822107553482
ENSP00000344903,0.0855260267853736
ENSP00000346389,0.2108733654022216
ENSP00000348283,0.0973888039588928
ENSP00000352438,0.2153911888599395
ENSP00000354558,0.6768113374710083
ENSP00000355316,0.963108777999878
ENSP00000358862,0.1541563719511032
ENSP00000368698,0.3710681796073913
ENSP00000381045,0.560579240322113
ENSP00000384109,0.2213337123394012
ENSP00000393262,0.6841860413551331
ENSP00000419782,0.1625174582004547
ENSP00000200453,0.2303787469863891
ENSP00000216133,0.1029371246695518
ENSP00000231498,0.3014419376850128
ENSP00000233557,0.4716886878013611
ENSP00000251127,0.8890145421028137
ENSP00000251287,0.8467053771018982
ENSP00000262888,0.2450348734855651
ENSP00000269397,0.9561760425567628
ENSP00000276072,0.4763498306274414
ENSP00000290310,0.1807822287082672
ENSP00000295206,0.165249764919281
ENSP00000304308,0.5762191414833069
ENSP00000339527,0.6900114417076111
ENSP00000339992,0.7317920923233032
ENSP00000352442,0.0569152235984802
ENSP00000354568,0.3685636520385742
ENSP00000360200,0.322356104850769
ENSP00000361824,0.8188218474388123
ENSP00000362777,0.0118328249081969
ENSP00000368547,0.1702181100845337
ENSP00000378736,0.0042685526423156
ENSP00000396620,0.2466469556093216
ENSP00000420321,0.3333730101585388
ENSP00000473172,0.1078611761331558
ENSP00000238789,0.3143205642700195
ENSP00000272937,0.0063400119543075
