gene,gene_gencodeV33,gene_id,chromosome,ASD72,ASD185,DD309,DD477,NDD373,NDD664,Satterstrom102,SCZ10,SCZ244,FDR_TADA_ASD,FDR_TADA_DD,FDR_TADA_NDD,p_TADA_ASD,p_TADA_DD,p_TADA_NDD,l10BF_ASD_PTV,l10BF_ASD_misB,l10BF_ASD_misA,l10BF_ASD_DEL,l10BF_ASD_DUP,l10BF_DD_PTV,l10BF_DD_misB,l10BF_DD_misA
LRP5L,LRP5L,ENSG00000100068,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887808164,0.911653725,0.841953089,0.610403294,0.936871849,0.625527519,9.64E-17,0,0,0,0,0,0,0
DDT,DDT,ENSG00000099977,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909426125,0.911655977,0.876500051,0.958411573,0.936929186,0.957272952,0,0,0,0,0,0,0,0
DEFB124,DEFB124,ENSG00000180383,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.876246786,0.911658229,0.823290881,0.507961102,0.936986524,0.521545022,0,0,0.003926871,0,0,0,0,0
RNF183,RNF183,ENSG00000165188,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.879816309,0.91166048,0.828895845,0.53602731,0.937043861,0.549429276,3.86E-16,0,0,0,0,0,0,0
VMO1,VMO1,ENSG00000182853,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.809627278,0.911662732,0.733596128,0.236386643,0.937101198,0.266483744,1.93E-16,0,0.127408873,0,0,0,0,0
ID1,ID1,ENSG00000125968,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909428456,0.911664982,0.876504272,0.958469095,0.937158535,0.957332544,0,0,0,0,0,0,0,0
HSPB3,HSPB3,ENSG00000169271,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909430787,0.911667233,0.876508493,0.958526617,0.937215872,0.957392135,0,0,0,0,0,0,0,0
UPK3BL,UPK3BL1,ENSG00000267368,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909433117,0.911669483,0.876512713,0.958584139,0.937273209,0.957451726,0,0,0,0,0,0,0,0
LCE5A,LCE5A,ENSG00000186207,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.909435447,0.911671734,0.876516933,0.958641661,0.937330546,0.957511318,0,0,0,0,0,0,0,0
TMEM61,TMEM61,ENSG00000143001,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.887813641,0.911673983,0.841962211,0.610460816,0.937387883,0.62558711,9.64E-17,0,0,0,0,0,0,0
